id,ASIN,product_image,product_name,seller_sku,FBA_available_inventory,reserved_quantity,Inbound_to_FBA,supplier_name,supplier_item_number,product_cost,pack_type,is_active,createdAt,updatedAt
7571,B000HHM9WI,https://m.media-amazon.com/images/I/41rFVNdFuEL._SL75_.jpg,"ANIMED Pure MSM 5lb",00-WTH3-LMPN,0,0,0,Mateo,11,0,2,0,"2024-05-10 16:51:59","2024-05-13 15:38:17"
7572,B003E7UNE4,https://m.media-amazon.com/images/I/41kxcn5WaqL._SL75_.jpg,"Ecoco Eco Style Gel Olive Oil - 100% Pure Olive Oil - Adds Shine And Tames Split Ends - Weightless Style - Nourishes And Repairs - Adds Moisture To The Scalp - Superior Hold - Healthy Shine - 32 Oz",00-WUQ0-DFW7,0,0,0,Jose,2,0,NULL,0,"2024-05-10 16:51:59","2024-05-13 15:38:17"
7573,B005GX6NKM,https://m.media-amazon.com/images/I/41sn102yXRL._SL75_.jpg,"Simply Organic Organic Chili Powder ( 1X2.89 Oz)",01-CVKH-NOE4,0,0,0,JOA,3,0,NULL,0,"2024-05-10 16:51:59","2024-05-13 16:19:26"
7574,B00N5ZSC34,https://m.media-amazon.com/images/I/51BhVMvMCKL._SL75_.jpg,"Fruitables Skinny Mini � Healthy Treats for Dogs � Low Calorie Training Treats � Free of Wheat, Corn and Soy � Apple Bacon � 12 Ounces",02-1SMG-YDP5,0,0,0,JOA,3,0,NULL,0,"2024-05-10 16:51:59","2024-05-13 16:19:26"
7575,B000GCL6YQ,https://m.media-amazon.com/images/I/41nTmpDHIWL._SL75_.jpg,"Benadryl Children's Allergy Relief Liquid Medicine with Diphenhydramine HCl, Kids' Allergy Syrup for Allergy Symptoms Like Runny Nose, Itchy Eyes & More, Cherry Flavor, 4 fl. oz",03-SWOE-J07J,0,0,0,,0,0,NULL,1,"2024-05-10 16:52:00","2024-05-13 16:13:54"
7576,B088FZFD64,https://m.media-amazon.com/images/I/511hsupTgsL._SL75_.jpg,"Crush Grape Caffeine/Sugar Free Hydrating On-the-Go Drink Mix Packets - 2 Pk (12 ct)",04-5PI9-9EVZ,0,0,0,Ramiro,6,0,NULL,0,"2024-05-10 16:52:00","2024-05-13 16:19:26"
7577,B01LFCEIJK,https://m.media-amazon.com/images/I/416uwxLvrjL._SL75_.jpg,"Open Farm Dehydrated Cod Skin Grain-Free Dog Treats, One-Ingredient Gently Cooked Pacific Fish Recipe with No Artificial Flavors or Preservatives, 2.25 oz",05-1ZDS-5OT0,0,0,0,NULL,7,0,NULL,0,"2024-05-10 16:52:00","2024-05-13 16:13:21"
7578,B0883TT1TM,https://m.media-amazon.com/images/I/41GpEy84LuL._SL75_.jpg,"Dickinson's Original Witch Hazel Pore-perfecting Toner,100% Natural, 16 Fl Oz (Pack of 6)",05-GNY5-DEJC,0,0,0,Mateo,5,10,NULL,1,"2024-05-10 16:52:00","2024-05-13 16:14:25"
11273,B00HM8YOUU,NULL,"Applaws Succulent Tuna Fillet with Crab Cat Food Cups, 100% Natural, 18 x 2.12 oz",05-VNMG-ZPCO,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11274,B019FV2RH8,NULL,"Miracle-Gro Indoor Plant Food Spikes, 4 Packs of 1.1-Ounce",07-HBTO-ZQQ4,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11275,B082GC6NNW,NULL,"Grannicks Bitter Apple Taste Deterrent for Dogs (New Version)",07-UW90-6TC3,0,0,50,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:19:26"
11276,B0B3Q278WK,NULL,"Zoo Med Crested Gecko Food - Plum - 2 oz",08-BE8Q-GF2Y,4,18,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:19:26"
11277,B087HH1FHT,NULL,"Colgate Total Whitening Toothpaste - 4.8 ounce (3 Pack)",08-BX82-ZX5U,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11278,B07P5G332G,NULL,"Right Guard Xtreme Defense Invisible Solid Antiperspirant Deodorant, Pure Cool, 2.6 oz (Pack of 3)",08-SO7Z-4YHL,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11279,B01GU3SKZM,NULL,"True Decor TrueMetrix Self Monitoring Blood Glucose Meter (Triple Sense Technology)",09-8SNW-SMV2,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11280,B001J6O3NO,NULL,"Mennen Speed Stick Power Antiperspirant Deodorant for Men, Ultimate Sport, 3 Oz, Pack of 6",0A-UHT9-1B7G,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11281,B07CRHCRLV,NULL,"Fruitables Baked Dog Treats Variety 4 Pack - 1 Pumpkin & Apple - 1 Pumpkin & Banana - 1 Pumpkin & Blueberry - 1 Pumpkin & Cranberry - 7 oz Each",0B-ZM3P-AQ99,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11282,B00W4TWDL4,NULL,"Jergens Mild Soap, Lightly Scented Gentle Cleansing Soap, For All Skin Types, 3.5 Ounce (Pack of 8)",0E-IN6B-D737,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11283,B06XXWZGSV,NULL,"Durvet Healthy Flock Poultry Probiotics",0H-IUWM-KKHZ,60,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:19:27"
11284,B07KJNGYZR,NULL,"Vital Cat Vital Essentials Minnows Freeze-Dried Cat Treats - All Natural Raw Treat - Made & Sourced in USA - Grain Free - 0.5 oz Resealable Pouch - 3 Pack",0H-YSUF-OIVF,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:19:27"
11285,B08VJL6FTL,NULL,"Redbarn Chew-A-Bulls (Size: Mini | Shape: Hydrant | 48-Count (Pack of 1))",0J-7PZV-ETQB,28,3,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:19:27"
11286,B073PCZPZK,NULL,"Chuckit! Max Glow Ball, Medium 2ct (2 x 1ct)",0J-APVP-XN6W,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11287,B00028ZLSG,NULL,"Pet Tabs Original Formula Vitamin Supplement, 60 Count",0J-J2PG-8AEU,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11288,B07PB39VVL,NULL,"Colgate Total Whitening Toothpaste Gel, 3.3 oz (Pack of 3)",0K-0VV5-4VF3,0,1,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:19:27"
11289,B004S9QY5O,NULL,"Tea Tree Therapy Antiseptic Ointment,2oz",0K-CWSG-FRFF,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11290,B082ZPK9GP,NULL,"Eco Styling Gel Argan Oil Orange 80 oz#",0M-613J-HVKV,19,14,16,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:19:27"
11291,B00JGQ4E6K,NULL,"Ultraswim Chlorine Removal Moisturizing Shampoo - 7 oz - 2 pk",0M-ITMX-70FN,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11292,B07P5GZMRN,NULL,"SpaPure Alkalinity Increaser (1 lb) (2 Pack)",0N-OI00-DNV1,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11293,B0009PCOFU,NULL,"Fresh Step Scented Non-Clumping Clay Cat Litter, 7 Pounds",0Q-DWUU-N458,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11294,B01N442619,NULL,"Selective Naturals Garden Sticks, 2.1 oz",0Q-IQWX-S04F,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11295,B07XTH99KH,NULL,"ANIMED 1 lb Pure MSM Powder with No Filler for Equine or Dogs Joint, Cartilage and Skin Health",0Q-RAE9-G5E9,0,1,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11296,B075RWBGN2,NULL,"Clorox Clean-Up Cleaner Spray with Bleach, 32 fl. oz. (Pack of 2)",0R-HDY9-CZ8A,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11297,B07V5R8F1H,NULL,"Bactine MAX First Aid Spray - Pain Relief Cleansing Spray with 4% Lidocaine - Numbing Lidocaine Spray Kills 99% of Germs - Pain + Itch Relief for Minor Cuts & Scrapes, Burns & Bug Bites - 5oz, 4 Pack",0R-QFNC-FTN7,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
11298,B0006G5F0S,NULL,"Zoo Med Wipe Out 1 Disinfectant, 32 oz",0T-FZ5A-ZT7H,17,8,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:19:27"
11299,B06XN61PYR,NULL,"Vital Cat Freeze-Dried All-Natural Chicken Hearts Cat Treats, 0.8 oz.",0T-JDXM-DQMM,0,1,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:46","2024-05-13 16:15:46"
