sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
00-WTH3-LMPN	X0041WP4LT	B000HHM9WI	ANIMED Pure MSM 5lb	New	38.99	No		Yes	1	0	1	0	1	0.34	0	0	0	0	0	0
00-WUQ0-DFW7	X003ZEG3HN	B003E7UNE4	Ecoco Eco Style Gel Olive Oil - 100% Pure Olive Oil - Adds Shine And Tames Split Ends - Weightless Style - Nourishes And Repairs - Adds Moisture To The Scalp - Superior Hold - Healthy Shine - 32 Oz	New	19.99	No		Yes	0	0	0	0	60	0.06	60	0	0	0	0	0
01-CVKH-NOE4	X0045CHAUD	B005GX6NKM	Simply Organic Organic Chili Powder ( 1X2.89 Oz)	New	11.99	No		Yes	0	0	0	0	1	0.03	0	0	1	0	0	0
03-SWOE-J07J	X003TXR7CP	B000GCL6YQ	Benadryl Children's Allergy Relief Liquid Medicine with Diphenhydramine HCl, Kids' Allergy Syrup for Allergy Symptoms Like Runny Nose, Itchy Eyes & More, Cherry Flavor, 4 fl. oz	New	14.99	No		Yes	0	0	0	0	0	0.01	0	0	0	0	0	0
05-VNMG-ZPCO	X0041XCGUZ	B00HM8YOUU	Applaws Succulent Tuna Fillet with Crab Cat Food Cups, 100% Natural, 18 x 2.12 oz	New	39.99	No		Yes	0	0	0	0	0	0.17	0	0	0	0	0	0
07-HBTO-ZQQ4	X003U2TXBX	B019FV2RH8	Miracle-Gro Indoor Plant Food Spikes, 4 Packs of 1.1-Ounce	New	14.06	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
07-LNCO-QAY0	X0049KB2YL	B007Z8N1OM	Grandma Mae's Country Naturals Grain Inclusive Dry Dog Food 4 LB Adult Chicken & Brown Rice	New	32.99	No		Yes	0	0	0	0	0	0.27	0	0	0	0	0	0
07-UW90-6TC3	X0046VL2ZR	B082GC6NNW	Grannicks Bitter Apple Taste Deterrent for Dogs (New Version)	New	15.10	No		Yes	0	0	0	0	56	0.02	56	0	0	0	0	0
08-BE8Q-GF2Y	X0046RMS9Z	B0B3Q278WK	Zoo Med Crested Gecko Food - Plum - 2 oz	New	10.00	No		Yes	0	0	0	0	60	0.02	60	0	0	0	0	0
08-BNT9-KDZO	X0048UZFBD	B0049PLD26	MG LB Bloom Booster	New	12.99	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
08-BX82-ZX5U	X003SLAU8B	B087HH1FHT	Colgate Total Whitening Toothpaste - 4.8 ounce (3 Pack)	New	14.40	No		Yes	0	0	0	0	0	0.06	0	0	0	0	0	0
08-SO7Z-4YHL	X003VK3L21	B07P5G332G	Right Guard Xtreme Defense Invisible Solid Antiperspirant Deodorant, Pure Cool, 2.6 oz (Pack of 3)	New	18.99	No		Yes	0	0	0	0	0	0.07	0	0	0	0	0	0
09-8SNW-SMV2	X0045LBTB5	B01GU3SKZM	True Decor TrueMetrix Self Monitoring Blood Glucose Meter (Triple Sense Technology)	New	18.99	No		Yes	0	0	0	0	0	0.06	0	0	0	0	0	0
0A-UHT9-1B7G	X003YJPN0R	B001J6O3NO	Mennen Speed Stick Power Antiperspirant Deodorant for Men, Ultimate Sport, 3 Oz, Pack of 6	New	24.99	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
0B-ZM3P-AQ99	X003WLPWZD	B07CRHCRLV	Fruitables Baked Dog Treats Variety 4 Pack - 1 Pumpkin & Apple - 1 Pumpkin & Banana - 1 Pumpkin & Blueberry - 1 Pumpkin & Cranberry - 7 oz Each	New	21.75	No		Yes	0	0	0	0	0	0.19	0	0	0	0	0	0
0D-ZW06-JTWG	X00485NQ0P	B000HHSAKI	Durvet WormEze Liquid Canine & Feline Antihelmintic, 8 oz	New	14.99	No		Yes	0	0	0	0	0	0.01	0	0	0	0	0	0
0E-IN6B-D737	X003YS3P4J	B00W4TWDL4	Jergens Mild Soap, Lightly Scented Gentle Cleansing Soap, For All Skin Types, 3.5 Ounce (Pack of 8)	New	19.99	No		Yes	0	0	0	0	0	0.11	0	0	0	0	0	0
0E-VMUP-RPKE	X0049K6OTJ	B00H9KHVVU	NGK Iridium IX DCPR8EIX Spark Plugs for 2006-2016 Harley Davidson V-Rod (Pair)	New	22.49	No		Yes	0	0	0	0	0	0	0	0	0	0	0	0
0H-IUWM-KKHZ	X00449CLO7	B06XXWZGSV	Durvet Healthy Flock Poultry Probiotics	New	12.99	No		Yes	51	50	0	1	51	0.01	0	0	0	0	0	0
0H-YSUF-OIVF	X003ZNM9LD	B07KJNGYZR	Vital Cat Vital Essentials Minnows Freeze-Dried Cat Treats - All Natural Raw Treat - Made & Sourced in USA - Grain Free - 0.5 oz Resealable Pouch - 3 Pack	New	28.69	No		Yes	0	0	0	0	0	0.05	0	0	0	0	0	0
