id,ASIN,product_image,product_name,seller_sku,FBA_available_inventory,reserved_quantity,Inbound_to_FBA,supplier_name,supplier_item_number,product_cost,pack_type,is_active,createdAt,updatedAt
12265,B00FQEAX2U,NULL,"Marshall Pet Products Natural Complete Nutrition Premium Ferret Diet Food with Real Chicken Protein, Highly Digestible, 22 oz",K8-3QIV-F445,59,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12266,B01C7PJS26,NULL,"Tetra No More Algae Tablets - 24 Tablets Total (3 Packs with 8 Tablets per Pack)",K8-BB1U-D4ZF,0,1,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12267,B07YPTDM26,NULL,"SKOUT'S HONOR: Probiotic Shampoo + Conditioner for a Healthier Skin and Coat - Dog of the Woods, 16 oz.",K8-WT20-2PEL,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12268,B09BLZP31X,NULL,"Fieldcrest Farms Nothin' to Hide Rings and Bones Chicken Flavored Dog Chew, 2.4 oz., Count of 12",K9-78JE-CRIQ,21,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12269,B0BD6298TD,NULL,"Dr. Marty Shine & Luster Seasonal Allergy Support Chewables for Dogs, 60 Ct.",K9-O70D-N77V,19,15,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12270,B005KS4N7I,NULL,"Afta Pre-Electric Shave Lotion With Skin Conditioners Original 3 oz (Pack of 3)",KB-B5PJ-SHBB,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12271,B001QXC8B4,NULL,"Caress Exfoliating Body Wash for Everyday Use Shea Butter & Brown Sugar 18 oz (Pack of 3)",KB-CC59-79BF,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12272,B0006N9LN8,NULL,"Nupro All Natural Dog Supplement (1 lb)",KB-LTQX-U8VB,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
12273,B07CYCLSVH,NULL,"Cetaphil RESTORADERM Itch Control Moisturizing Lotion, 10 fl oz (Pack of 3), Soothes Dry, Irritated, Eczema Prone Skin, No Added Fragrance, (Packaging May Vary)",KB-UZ0E-N2YC,0,1,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:19:29"
12274,B0014AY7M2,NULL,"Alvera All Natural Roll-on Deodorant Aloe and Almonds - 3 Oz, 3 Fluid Ounce",KC-VQQC-BOIU,0,0,0,NULL,NULL,0,NULL,1,"2024-05-13 16:15:49","2024-05-13 16:15:49"
